MutationType	ID83A	ID83B	ID83C	ID83D
2:Del:R:2	0.0028131037742980423	0.010955142636547066	0.0059207743090610165	0.0021384723186372414
2:Del:R:3	0.004857221476703444	0.009107742693595355	0.00573701852139834	0.0015823495608685788
2:Del:R:4	0.0007182888056291858	0.0005070790666422909	0.006778178125349754	0.0048486369771922
2:Del:R:5	0.00927001500479605	0.017760307082915004	0.01499551509016328	0.019199617160484194
3:Del:R:0	0.032935910997912286	0.02017185177612646	0.004063087765555906	8.264412088010431e-07
3:Del:R:1	0.027165585197508335	0.011592817095515785	0.007784217687094497	0.007000194133138393
3:Del:R:2	0.008523082895135304	0.0055791473083814935	0.004937062072744425	0.0067069885283444815
3:Del:R:3	0.014915306723997901	0.017303359689714172	0.045354229118674996	0.012556491002169424
3:Del:R:4	0.012419600333640802	0.006620484474595401	0.04034804496914148	0.02963146809488535
3:Del:R:5	0.0037295887315735854	0.0020356132508368317	0.0014600769490414223	0.0028474021180272756
4:Del:R:0	0.009299689088948071	0.004972818472246843	0.004806071440044945	0.0006918566050188701
4:Del:R:1	0.005947478458483602	0.0028250439317559994	0.004819694802756657	0.0004401127002608973
4:Del:R:2	0.000814047199247625	0.0006641422574091393	0.0013668815768880904	0.0014009452323307415
4:Del:R:3	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
4:Del:R:4	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
4:Del:R:5	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
5:Del:R:0	0.09314342774450779	0.023356324434280394	0.020045019499957562	0.03573609840532299
5:Del:R:1	0.008757745199523015	0.01563800354488194	0.012563465339889035	0.011399628345429846
5:Del:R:2	0.020632231188938022	0.019894813853034064	0.0026179648274819558	3.875195381031205e-07
5:Del:R:3	1.443692576685862e-06	0.0009219637069406872	0.0008485126903849504	0.001117637479330824
5:Del:R:4	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
5:Del:R:5	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
2:Ins:R:0	0.0021866538729113927	0.006589011126766309	0.004918885286640773	0.000809292431722497
2:Ins:R:1	0.004396267080505822	0.0013648057079024057	0.005182686838054451	0.0036466579817158616
2:Ins:R:2	0.0009799687443205584	0.00021629636451052646	0.0006282933305328698	0.0002875999032880827
2:Ins:R:3	0.002124787931029459	0.0002544284593454904	0.004526230401609155	0.002263180985562485
2:Ins:R:4	0.00027870078531577747	0.0029603852528566677	0.0004252577699674021	2.2649354605164262e-06
2:Ins:R:5	0.0010124271654831317	0.00021618656541875226	3.1531868899037362e-06	0.000286639675709921
3:Ins:R:0	0.004078171237171091	0.0077423014346464925	0.006730275641467642	0.0009577196769910756
3:Ins:R:1	0.0015066873748963872	0.003181635818015138	0.0019120603624230626	0.00079637365772669
3:Ins:R:2	0.002895586038559372	0.005678329074805788	0.0005376412718646861	1.2886571894910047e-06
3:Ins:R:3	0.00035683595843920556	1.988118845019926e-06	0.0003811371480566095	0.0015871410907152494
3:Ins:R:4	0.0015279403763258869	0.001222607160661937	0.0023993804875772186	1.7237802268255109e-06
3:Ins:R:5	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
4:Ins:R:0	0.00964337607974528	0.006300400049451582	0.0003561960450909396	2.1732766782633916e-06
4:Ins:R:1	0.0001523775933833349	0.001112190702821181	0.004046822095006064	0.004686921580724856
4:Ins:R:2	0.0010145998033067372	0.00023115298171987319	0.0001921417070647635	0.0011911902670476593
4:Ins:R:3	0.0020364354988913645	0.003512119350151011	0.0011341977482516087	1.8005794061082269e-06
4:Ins:R:4	1.7679364077594073e-06	2.5799124841796583e-06	2.7477993967295335e-06	2.832589154877496e-06
