"gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv"
"WT1",0,0,0,0,0,0,0,0,0,0.122970622709513,0.647881027282669,0.274219402666462,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.629011802125744,0.997950032833791
"GNAS",1,3,0,0,0,3.77571798523042,0,0,0,0.139574052864403,0.653681009563711,0.277116989963356,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.632745522797488,0.997950032833791
"PTPN11",0,0,0,0,0,0,0,0,0,0.13724351000191,0.608235458350811,0.290638713406089,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.649773507332144,0.997950032833791
"MPL",0,0,0,0,0,0,0,0,0,0.140658772909556,0.584576368430273,0.290888311837883,1,0.4478713376239,0.807955903076586,0.803405813647486,1,0.650081822558086,0.997950032833791
"GALNS",0,0,0,0,0,0,0,0,0,0.153566681576774,0.655684219925829,0.327052612896833,1,0.4478713376239,0.807955903076586,0.819674551960848,1,0.692577806550091,0.997950032833791
"ZRSR2",0,0,0,0,0,0,0,0,0,0.162490652605028,0.605017633771335,0.329824816426911,1,0.4478713376239,0.807955903076586,0.819674551960848,1,0.695664400105072,0.997950032833791
"CEBPA",0,0,0,0,0,0,0,0,0,0.155320960853323,0.79148012366433,0.351849849831137,1,0.4478713376239,0.815193396655303,0.819674551960848,1,0.719374876951939,0.997950032833791
"ETV6",1,0,0,0,0,0,0,0,0,0.175947161745679,0.6549415946676,0.362175144799257,1,0.4478713376239,0.807955903076586,0.819674551960848,1,0.730010130516564,0.997950032833791
"IDH2",1,0,0,0,0,0,0,0,0,0.180207735497112,0.681175489984067,0.374427218909541,1,0.4478713376239,0.807955903076586,0.819674551960848,1,0.742248731769846,0.997950032833791
"MAP2K2",1,0,0,0,0,0,0,0,0,0.185326070740924,0.677881607345958,0.381572636257636,1,0.4478713376239,0.807955903076586,0.819674551960848,1,0.749200337990839,0.997950032833791
"GNB1",0,0,0,0,0,0,0,0,0,0.229791419446031,0.693892562191263,0.449990931485107,1,0.512611627994993,0.807955903076586,0.843827994444918,1,0.809321221927685,0.997950032833791
"SF3B1",0,1,0,0,0,0.42363320756369,0,0,0,0.316515571117591,0.484116615176327,0.474054395221553,1,0.580368472836634,0.807955903076586,0.843827994444918,1,0.827904337274584,0.997950032833791
"HDAC4",1,1,0,0,0,0.424388864246099,0,0,0,0.317686150057972,0.489223693775047,0.477906108964632,1,0.580368472836634,0.807955903076586,0.843827994444918,1,0.830763778844958,0.997950032833791
"U2AF1",0,0,0,0,0,0,0,0,0,0.245728358372093,0.738304532121708,0.482137982106949,1,0.527860917984496,0.807955903076586,0.843827994444918,1,0.833869662631033,0.997950032833791
"TP53",0,2,0,0,0,2.46569000105989,0,0,0,0.266989185469077,0.683568924664993,0.497010878911564,1,0.553049027043088,0.807955903076586,0.843827994444918,1,0.844492736721988,0.997950032833791
"PHF6",0,0,0,0,0,0,0,0,0,0.277532454135664,0.65627180348892,0.502274340181102,1,0.555064908271328,0.807955903076586,0.843827994444918,1,0.848144877965959,0.997950032833791
"MED12",2,3,0,0,0,0.741936294034415,0,0,0,0.586403329289375,0.307004490650656,0.511832641115975,1,0.748444967566537,0.807955903076586,0.843827994444918,1,0.854636432295935,0.997950032833791
"SMC3",1,1,0,0,0,0.501190817501644,0,0,0,0.435179906071928,0.406887862927887,0.522872548329743,1,0.616331950427456,0.807955903076586,0.843827994444918,1,0.861912278835545,0.997950032833791
"SMC1A",0,1,0,0,0,0.467587827790681,0,0,0,0.384289365816104,0.470922465749022,0.528151081614685,1,0.616331950427456,0.807955903076586,0.843827994444918,1,0.86530841752476,0.997950032833791
"ARID2",1,2,0,0,0,0.594606502468514,0,0,0,0.420930356650255,0.4455714581226,0.540746649881418,1,0.616331950427456,0.807955903076586,0.843827994444918,1,0.873200074643756,0.997950032833791
"LRIG1",0,1,0,0,0,0.460148625654554,0,0,0,0.372890253974517,0.531608135066503,0.552852823946671,1,0.616331950427456,0.807955903076586,0.843827994444918,1,0.880508488155432,0.997950032833791
"KRAS",0,1,0,0,0,3.28630976851126,0,0,0,0.320203295358143,0.789987764975873,0.588885880793086,1,0.580368472836634,0.815193396655303,0.854751777929745,1,0.900714419477082,0.997950032833791
"NPM1",0,0,0,0,0,0,0,0,0,0.331955726527588,0.733677048115439,0.589483984779134,1,0.583437337533337,0.807955903076586,0.854751777929745,1,0.901030825582853,0.997950032833791
"JAK2",1,1,0,0,0,0.518947227748889,0,0,0,0.461584273510781,0.502834467901548,0.609266416399515,1,0.626976097477035,0.807955903076586,0.859140029005612,1,0.911157707352247,0.997950032833791
"STAG1",0,3,0,0,0,1.41828655073649,0,0,0,0.567339892922885,0.440190419451143,0.630356445257591,1,0.747857131580167,0.807955903076586,0.859140029005612,1,0.921246929077365,0.997950032833791
"CDCA2",1,3,0,0,0,1.64481536434832,0,0,0,0.464827106750216,0.573102776220482,0.637520851437258,1,0.626976097477035,0.807955903076586,0.859140029005612,1,0.924512525739785,0.997950032833791
"RUNX1",0,2,0,0,0,1.86965962073448,0,0,0,0.422824130620964,0.694575503730176,0.671450786804832,1,0.616331950427456,0.807955903076586,0.859140029005612,1,0.93889940758873,0.997950032833791
"GATA2",0,2,0,0,0,1.87179536414642,0,0,0,0.422057892863712,0.726154399380946,0.681386919556175,1,0.616331950427456,0.807955903076586,0.859140029005612,1,0.942783956377517,0.997950032833791
"NRAS",0,0,0,0,0,0,0,0,0,0.435682930474581,0.790235088887017,0.712345236616012,1,0.616331950427456,0.815193396655303,0.879064334547419,1,0.953967471088732,0.997950032833791
"BCORL1",2,3,0,0,0,0.848387818419732,0,0,0,0.769673720124492,0.460037158313414,0.729228210649314,1,0.854002202415608,0.807955903076586,0.881150754534588,1,0.95949554520223,0.997950032833791
"STAG2",1,2,0,0,0,0.909857940263531,0,0,0,0.892032223581085,0.454061397013196,0.748668794412933,1,0.92389051728041,0.807955903076586,0.885213976277836,1,0.96537740825155,0.997950032833791
"PRPF8",1,4,1,0,0,0.89269764371385,2.18339203960705,2.18339203960705,0,0.817010427871499,0.489436335653558,0.766704602158372,1,0.861574633028126,0.807955903076586,0.885213976277836,1,0.970382505703682,0.997950032833791
"CBL",2,2,0,0,0,0.946550047820807,0,0,0,0.957524327416053,0.512978595210663,0.805727110046147,1,0.974322999826861,0.807955903076586,0.885213976277836,1,0.979772357601805,0.997950032833791
"CSF3R",0,1,0,0,0,0.738257905343669,0,0,0,0.749257210557248,0.591773981614467,0.822942190104187,1,0.854002202415608,0.807955903076586,0.885213976277836,1,0.983308378100235,0.997950032833791
"SETBP1",2,3,0,0,0,1.00474019325391,0,0,0,0.993469860869588,0.534037710697298,0.824164736534537,1,0.993469860869588,0.807955903076586,0.885213976277836,1,0.983545707250366,0.997950032833791
"MAP2K1",0,1,0,0,0,1.49215390668684,0,0,0,0.707501252287328,0.696018012536884,0.863538693029544,1,0.854002202415608,0.807955903076586,0.905035082581679,1,0.990234130610502,0.997950032833791
"CHEK2",10,10,1,0,0,1.25386383196415,0.977086297453228,0.977086297453228,0,0.615178876511872,0.982329598295488,0.873826976285759,1,0.759156911440182,0.982329598295488,0.905035082581679,1,0.991682546427783,0.997950032833791
"IDH1",0,1,0,0,0,1.33485518368716,0,0,0,0.782883003883914,0.71303368325111,0.89978396432084,1,0.854002202415608,0.807955903076586,0.915569647905417,1,0.994801676530848,0.997950032833791
"SRSF2",0,1,0,0,0,1.31183867420262,0,0,0,0.795105498800739,0.80113833809228,0.936656302659595,1,0.854002202415608,0.815193396655303,0.936656302659595,1,0.997950032833791,0.997950032833791
